Date,Close,High,Low,Open,Volume
8/12/2015,176.1140747,176.29953,173.1130902,174.5882943,172123700
8/13/2015,175.8949585,176.6452048,175.3470177,175.95396,89383300
8/14/2015,176.5356293,176.6114939,175.5577763,175.7010803,72786500
8/17/2015,177.5218964,177.5218964,175.4734757,175.9371139,79072600
8/18/2015,177.0076904,177.5977697,176.7716587,177.2437221,71692700
8/19/2015,175.6083374,177.0329526,174.7906517,176.2574181,172946000
8/20/2015,171.9414368,175.5830784,171.8824224,174.0825854,194327900
8/21/2015,166.7654877,171.9160575,166.5041679,170.0530799,346588500
8/24/2015,159.7435303,166.4704574,153.7584113,158.0491576,507244300
8/25/2015,157.8637543,164.7592758,157.5687082,164.7424128,369833100
8/26/2015,163.9247131,164.2028832,158.7909922,161.9184311,339257000
8/27/2015,167.9794617,168.1059026,164.5569887,166.0827698,274143900
8/28/2015,167.987915,168.4599786,166.8414695,167.3303961,160414400
8/31/2015,166.630661,167.8614087,166.0742951,167.0015716,163298800
9/1/2015,161.6571198,164.1860416,160.7804196,162.7951269,256000400
9/2/2015,164.7255402,164.7676914,162.2050435,164.0595835,160269300
9/3/2015,164.8435516,166.9509864,164.3462001,165.4420559,152087800
9/4/2015,162.3483887,163.4189694,161.5222776,162.5675702,207081000
9/8/2015,166.4283295,166.5800715,164.5232131,165.1723066,116025700
9/9/2015,164.2029266,168.1480523,163.8320288,168.0216113,149347700
9/10/2015,165.0964661,166.2513363,163.7477025,164.0090224,158611100
9/11/2015,165.8466797,165.9141191,163.9837018,164.7002347,119691200
9/14/2015,165.2312927,166.0742665,164.7423664,166.0236902,79452000
9/15/2015,167.2966461,167.7434214,165.1892109,165.7371389,113806200
9/16/2015,168.7465515,168.9404448,167.2544966,167.6001191,99581600
9/17/2015,168.3672028,171.0310038,167.987867,168.6116724,276046600
9/18/2015,165.6158142,168.3527719,165.2006178,165.8361352,223657500
9/21/2015,166.4716339,167.5053968,165.4124385,166.4546832,105726200
9/22/2015,164.3108978,164.7769465,163.1669614,164.2854782,153890900
9/23/2015,164.0482025,164.9548671,163.4635245,164.4803496,92790600
9/24/2015,163.4550781,163.9211268,161.4722668,162.8195607,159378800
9/25/2015,163.4126892,165.2345003,162.5314313,164.9294515,155054800
9/28/2015,159.3114929,162.6161911,158.9979751,162.5060306,178515900
9/29/2015,159.4046783,160.7774045,158.3963222,159.5317896,159045600
9/30/2015,162.378952,162.5484208,160.523239,161.3112744,163452000
10/1/2015,162.8026428,163.1076917,160.845251,162.7602724,131079000
10/2/2015,165.2344971,165.2599167,160.2520373,160.8028267,211003300
10/5/2015,168.1748505,168.4036403,166.361508,166.4716685,126320800
10/6/2015,167.5986328,168.6069891,166.9292269,168.0392618,110274500
10/7/2015,168.9713593,169.3272474,167.3359545,168.5391992,124307300
10/8/2015,170.496582,170.7846801,168.2764995,168.5815483,153055200
10/9/2015,170.5982208,171.0812071,169.9627037,170.6405912,107069200
10/12/2015,170.7592926,170.9626499,170.2424046,170.6745518,56395600
10/13/2015,169.6831512,171.3016054,169.5136825,170.0220887,88038700
10/14/2015,168.8696594,170.2084842,168.5730924,169.6238061,99106200
10/15/2015,171.4625702,171.4710391,169.1662287,169.5390676,134142200
10/16/2015,172.2421112,172.259049,171.0981751,171.8692724,114580100
10/19/2015,172.326889,172.326889,171.2761752,171.589693,76523900
10/20/2015,172.1066284,172.7251952,171.6321107,171.8863203,78448500
10/21/2015,171.0388794,172.6827398,170.8693978,172.5302219,102038000
