Date,Close,High,Low,Open,Volume
7/1/2015,17.94333267,18.17466736,17.85666656,18.0739994,31518000
7/2/2015,18.66799927,18.82999992,18.22066689,18.68000031,107458500
7/6/2015,18.64800072,18.77933311,18.42000008,18.59199905,61828500
7/7/2015,17.85866737,18.34666634,17.38466644,18.33333206,91576500
7/8/2015,16.99733353,17.38666725,16.95400047,17.28800011,93316500
7/9/2015,17.19466782,17.53000069,17.11933327,17.27199936,50011500
7/10/2015,17.27666664,17.53333282,17.18799973,17.48133278,39163500
7/13/2015,17.47733307,17.50333214,17.06999969,17.48333359,44404500
7/14/2015,17.70999908,17.73266792,17.36733246,17.47333336,28614000
7/15/2015,17.54266739,17.8326664,17.47200012,17.78266716,30324000
7/16/2015,17.77866745,17.81333351,17.54400063,17.61466789,24240000
7/17/2015,18.31066704,18.36933327,17.88333321,18.16666794,75061500
7/20/2015,18.81733322,19.11000061,18.1693325,18.33333206,74677500
7/21/2015,17.78466606,18.23333359,17.77000046,18.00333214,91630500
7/22/2015,17.8579998,17.96266747,17.39066696,17.41799927,46575000
7/23/2015,17.81333351,17.99333382,17.68466759,17.9766674,33408000
7/24/2015,17.69400024,18.07266617,17.59466743,17.82533264,42547500
7/27/2015,16.86733246,17.62866783,16.71933365,17.49533272,70413000
7/28/2015,17.6546669,17.69333267,16.78933334,17.04999924,58437000
7/29/2015,17.58799934,17.85933304,17.46666718,17.61800003,41851500
7/30/2015,17.7859993,17.79599953,17.47400093,17.5126667,30519000
7/31/2015,17.74333382,17.95733261,17.67466736,17.84000015,33339000
8/3/2015,17.3326664,17.78066635,17.13800049,17.75266647,38302500
8/4/2015,17.75200081,17.78133392,17.22266769,17.33399963,35287500
8/5/2015,18.00866699,18.06666756,17.36000061,17.5720005,93214500
8/6/2015,16.40866661,17,15.74133301,16.63599968,219357000
8/7/2015,16.1673336,16.24866676,15.89266682,16.23866653,76101000
8/10/2015,16.07600021,16.19799995,15.73666668,15.87666702,62788500
8/11/2015,15.82466698,15.9533329,15.62933254,15.81000042,63973500
8/12/2015,15.87800026,15.98466682,15.51599979,15.66666698,55920000
8/13/2015,16.1673336,16.43199921,15.94133282,15.99066734,70338000
8/14/2015,16.20999908,16.52866745,16.11800003,16.48266792,65472000
8/17/2015,16.99933243,17.1060009,16.70066643,17.03733253,107650500
8/18/2015,17.3813324,17.39666748,16.90399933,17.0253334,62925000
8/19/2015,17.01666641,17.37666702,17.00133324,17.35533333,54064500
8/20/2015,16.14533234,16.97066689,16.12666702,16.80400085,73587000
8/21/2015,15.3846674,16.25333214,15.36733341,15.73333263,98853000
8/24/2015,14.59133339,15.42666721,13,13.51933289,143724000
8/25/2015,14.66866684,15.39333344,14.6079998,15.36800003,64909500
8/26/2015,14.98933315,15.19999981,14.36733341,15.19533253,74445000
8/27/2015,16.19933319,16.31666756,15.38733292,15.39999962,114840000
8/28/2015,16.56533241,16.76333237,16.10466766,16.12400055,82705500
8/31/2015,16.60400009,16.99666786,16.36733246,16.37466621,70503000
9/1/2015,15.90866661,16.39999962,15.79800034,16.02266693,81822000
9/2/2015,16.5126667,16.5253334,15.98533344,16.35333252,69438000
9/3/2015,16.37133217,16.80533218,16.33333206,16.80400085,62922000
9/4/2015,16.12866783,16.27266693,15.88000011,16.0593338,55338000
9/8/2015,16.54466629,16.61066628,16.27000046,16.33666611,47073000
9/9/2015,16.59399986,16.95000076,16.55333328,16.80333328,50862000
9/10/2015,16.56533241,16.71466637,16.35533333,16.48200035,40635000
9/11/2015,16.68266678,16.68266678,16.31533241,16.50933266,35262000
9/14/2015,16.8793335,16.95000076,16.64466667,16.73999977,43363500
9/15/2015,16.9046669,16.97333336,16.63333321,16.85000038,44002500
9/16/2015,17.48333359,17.5253334,16.85866737,16.86933327,66256500
9/17/2015,17.47133255,17.70000076,17.3793335,17.59733391,53787000
9/18/2015,17.37466621,17.58799934,17.16666794,17.19733238,56446500
9/21/2015,17.61333275,18.10466766,17.05333328,17.59866714,91803000
9/22/2015,17.39599991,17.51000023,17.05800056,17.26866722,54966000
9/23/2015,17.40399933,17.47200012,17.17200089,17.46333313,39012000
9/24/2015,17.54133224,17.56333351,17.0806675,17.30200005,51723000
9/25/2015,17.12733269,17.79400063,17.07666779,17.77400017,56601000
9/28/2015,16.56200027,17.31933212,16.4406662,17.15666771,73516500
9/29/2015,16.44333267,16.98200035,16.36400032,16.69733238,55548000
9/30/2015,16.55999947,16.82666779,16.15600014,16.79999924,73944000
10/1/2015,15.99199963,16.56666756,15.80866718,16.50066757,68595000
10/2/2015,16.50466728,16.51333237,15.6619997,15.70666695,66360000
10/5/2015,16.40999985,16.65600014,16.2753334,16.58933258,55348500
10/6/2015,16.09733391,16.20199966,15.70533276,16,78378000
10/7/2015,15.46399975,15.84666729,15.27466679,15.7753334,102210000
10/8/2015,15.11466694,15.38133335,14.75399971,15.33866692,91998000
10/9/2015,14.71266747,14.95800018,14.55733299,14.72866726,92376000
10/12/2015,14.37199974,14.86666679,14.35133266,14.86600018,57544500
10/13/2015,14.61666679,14.83466721,14.07533264,14.21866703,77572500
10/14/2015,14.4586668,14.72999954,14.36200047,14.71133327,46566000
10/15/2015,14.75399971,14.78199959,14.24666691,14.42866707,42663000
10/16/2015,15.13399982,15.3653326,14.8579998,14.86933327,65017500
10/19/2015,15.20666695,15.40999985,14.99600029,15.10000038,37618500
10/20/2015,14.20199966,15.23999977,13.46666718,15.18133259,223500000
10/21/2015,14.00599957,14.32066727,13.92000008,14.13266659,62272500
10/22/2015,14.11466694,14.38333321,13.96000004,14.10400009,42378000
10/23/2015,13.93933296,14.35666656,13.84599972,14.33333302,63532500
10/26/2015,14.350667,14.3920002,14,14.09200001,50871000
10/27/2015,14.0233326,14.47333336,13.83399963,14.32266712,52791000
10/28/2015,14.19733334,14.22999954,13.88666725,14.08733273,40929000
10/29/2015,14.10866737,14.25,14.04266739,14.11666679,27075000
10/30/2015,13.79533291,14.10866737,13.59266663,14.02666664,66583500
11/2/2015,14.25266743,14.38666725,13.81466675,13.92800045,58918500
11/3/2015,13.89000034,14.29599953,13.85000038,14.25666714,124987500
11/4/2015,15.44200039,15.51599979,15.01333332,15.13333321,190896000
11/5/2015,15.45133305,15.63866711,15.27933311,15.37199974,67452000
11/6/2015,15.49066734,15.55733299,15.30000019,15.38000011,36679500
11/9/2015,15.02200031,15.53266716,14.95400047,15.53266716,57763500
11/10/2015,14.4333334,14.91333294,14.40533257,14.89866734,69255000
11/11/2015,14.60533333,14.63199997,14.24199963,14.51799965,50217000
11/12/2015,14.1960001,14.60000038,14.17733288,14.5233326,43738500
11/13/2015,13.81266689,14.19933319,13.76799965,14.19666672,51454500
11/16/2015,14.28733253,14.33199978,13.72000027,13.73933315,43881000
11/17/2015,14.26666737,14.39999962,14.09333324,14.34666729,32230500
