Date,Close,High,Low,Open,Volume
7/1/2015,60.8167305,60.91445618,60.7641081,60.79417886,5399300
7/2/2015,60.96707535,61.02721687,60.93700458,60.93700458,1060100
7/6/2015,61.1775856,61.22269463,61.05730824,61.22269463,2210700
7/7/2015,61.23770523,61.47074647,61.23770523,61.41061068,4183200
7/8/2015,61.41064453,61.46326696,61.31291307,61.37305462,1967800
7/9/2015,61.20769119,61.32797435,61.1776204,61.31293609,1670900
7/10/2015,60.92202377,61.01223614,60.85436307,60.90698551,2038300
7/13/2015,60.77916718,60.89945029,60.77164805,60.7866863,2846500
7/14/2015,60.89195633,60.94457878,60.86188554,60.89195633,1567700
7/15/2015,61.06483078,61.08738243,60.87689274,60.89944439,2631000
7/16/2015,61.06483078,61.10241495,60.92951516,60.94454768,1063100
7/17/2015,61.07234192,61.13248347,61.04227115,61.07986105,807900
7/20/2015,60.98962021,61.05728085,60.95203606,61.03472922,1026900
7/21/2015,61.10239029,61.13998018,60.96707473,60.98211297,1422900
7/22/2015,61.125,61.21521237,61.1174866,61.13251913,1624100
7/23/2015,61.26777267,61.29784344,61.10990548,61.15500876,1178400
7/24/2015,61.30538559,61.35048888,61.26779569,61.33545063,804300
7/27/2015,61.42565918,61.43317831,61.35048512,61.41062666,2022800
7/28/2015,61.32040024,61.38054176,61.31288111,61.350471,1434700
7/29/2015,61.26777267,61.3279142,61.2226694,61.32039507,1020500
7/30/2015,61.29032898,61.32791887,61.22267406,61.25274483,788000
7/31/2015,61.50082397,61.51586223,61.43316905,61.47827233,1589100
8/3/2015,61.64318085,61.65824447,61.50005052,61.54524715,2085800
8/4/2015,61.43228149,61.60553915,61.41721211,61.59047551,1007300
8/5/2015,61.33436203,61.37202974,61.25149766,61.35696036,2097000
8/6/2015,61.37200165,61.43226767,61.33433395,61.34940333,1173000
8/7/2015,61.50008011,61.55281145,61.43228513,61.46994709,1773800
8/10/2015,61.37200165,61.4774643,61.33433395,61.45486598,1173300
8/11/2015,61.60552216,61.68838649,61.55279083,61.57538915,1424200
8/12/2015,61.5829277,61.79385302,61.56786407,61.71098868,1029700
8/13/2015,61.45487976,61.58294077,61.43228144,61.52267473,845500
8/14/2015,61.43228149,61.52267479,61.40214848,61.43228149,2279800
