,total_return,ann_return,ann_vol,sharpe
strategy_hold,0.17790275102010322,0.18250061102249562,0.1835110051570886,0.9944940951430784
strategy_monthly_reb,0.17176220724013525,0.17719703816722873,0.18345567478308328,0.965884747783056
benchmark,0.12184804794921633,0.12494241327423744,0.13112802180985267,0.9528277140900905
